Date,PX_LAST,PX_VOLUME,CUR_MKT_CAP,BETA_ADJ_OVERRIDABLE,PE_RATIO,REVENUE,NET_INCOME,CF_FREE_CASH_FLOW,IS_RD_EXPEND,CAPEX,PX_TO_BOOK_RATIO,EQY_SH_OUT,IS_DILUTED_EPS,BEST_EPS,BS_TOT_ASSET,BS_TOT_LIAB2,BS_TOT_EQY,BS_INVENTORIES,INVTRY_FINISHED_GOODS,company_sheet,BS_RAW_MATS_AND_WORK_IN_PROC,sheet_name,Stream,Year,Quarter,AEXJPUS
1999-03-31,11.674,244067085.0,5853.4897,1.9927,,,,,,,,414.65099,,,,,,,,ASML NA Equity,,ASML NA Equity,Upstream (Equipment & Materials),1999,1999Q1,
1999-06-30,15.464,212510697.0,7753.9734,1.9569,,,,,,,,414.65099,,,,,,,,ASML NA Equity,,ASML NA Equity,Upstream (Equipment & Materials),1999,1999Q2,
1999-09-30,17.531,169608759.0,8790.6009,1.8841,,,,,,,,414.65099,,,,,,,,ASML NA Equity,,ASML NA Equity,Upstream (Equipment & Materials),1999,1999Q3,
1999-12-31,30.404,192025833.0,15245.3346,1.8661,,,,,,,,414.65099,,,,,,,,ASML NA Equity,,ASML NA Equity,Upstream (Equipment & Materials),1999,1999Q4,
2000-03-31,32.168,207317121.0,16242.5402,2.0283,,,,,,,,417.54602,,,,,,,,ASML NA Equity,,ASML NA Equity,Upstream (Equipment & Materials),2000,2000Q1,107.804
2000-06-30,37.229,212189972.0,18835.6753,2.107,,,,,,,,418.38461,,,,,,,,ASML NA Equity,,ASML NA Equity,Upstream (Equipment & Materials),2000,2000Q2,107.804
2000-09-30,31.093,253555473.0,15732.2161,2.0628,,,,,,,,418.41,,,,,,,,ASML NA Equity,,ASML NA Equity,Upstream (Equipment & Materials),2000,2000Q3,107.804
2000-12-31,20.004,445278966.0,10133.4374,2.3831,,,,,,,,418.91019,,,,,,,,ASML NA Equity,,ASML NA Equity,Upstream (Equipment & Materials),2000,2000Q4,107.804
2001-03-31,20.839,521988487.0,10557.9864,2.0489,,,,,,,,418.96771,,,,,,,,ASML NA Equity,,ASML NA Equity,Upstream (Equipment & Materials),2001,2001Q1,121.568
2001-06-30,21.906,441832635.0,12354.6893,1.9841,,,,,,,,466.39069,,,,,,,,ASML NA Equity,,ASML NA Equity,Upstream (Equipment & Materials),2001,2001Q2,121.568
2001-09-30,10.105,428142673.0,5702.7684,2.0912,,,,,,,,466.67499,,,,,,,,ASML NA Equity,,ASML NA Equity,Upstream (Equipment & Materials),2001,2001Q3,121.568
2001-12-31,16.142,330076782.0,9112.7888,2.2007,,,,,,,,466.84369,,,,,,,,ASML NA Equity,,ASML NA Equity,Upstream (Equipment & Materials),2001,2001Q4,121.568
2002-03-31,23.899,311187399.0,13495.6756,2.3779,,,,,,,,466.97839,,,,,,,,ASML NA Equity,,ASML NA Equity,Upstream (Equipment & Materials),2002,2002Q1,125.2204
2002-06-30,13.256,343547681.0,7725.7546,2.3908,,,,,,,,481.95599,,,,,,,,ASML NA Equity,,ASML NA Equity,Upstream (Equipment & Materials),2002,2002Q2,125.2204
2002-09-30,5.144,435149773.0,2997.7663,2.2431,,,,,,,,481.95599,,,,,,,,ASML NA Equity,,ASML NA Equity,Upstream (Equipment & Materials),2002,2002Q3,125.2204
2002-12-31,6.582,428009246.0,3836.3697,2.1911,,,,,,,,481.95599,,,,,,,,ASML NA Equity,,ASML NA Equity,Upstream (Equipment & Materials),2002,2002Q4,125.2204
2003-03-31,4.92,365508546.0,2868.9769,2.1503,,318.042,-81.9,21.442,80.345,25.428,2.3268,482.181,-0.17,,3242.0271,2009.013,,778.547,,ASML NA Equity,,ASML NA Equity,Upstream (Equipment & Materials),2003,2003Q1,115.9387
