Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,10445,41757,8040,33439,57252,12659,47410,86692,14048,64839,95923,317770,6418208,152311,128035,63772,139009,365732,9200,42176,16124,90747,130265,337434,66738,106735,206527,436425,231796
Albania,1835,57242,345902,32580,62837,178499,356963,74111,478958,154426,479388,808182,854863,1192093,4126978,6248850,2545338,2176564,672666,1618564,212182,231858,209558,278787,688311,775574,2195314,1295183,338654
Algeria,129069,102523,81832,41049,1483147,292095,23840,32922,545573,132736,1198589,273368,184933,279013,536558,122591,141090,132521,197112,326281,165876,1172754,1031846,152965,659386,308976,247582,1598946,1059217
American Samoa,0,0,0,0,0,37370,6977,0,3703,172532,134419,133369,53361,9353,22790,22564,910935,3994071,389975,13135,3442251,994797,297901,0,9655,25402,3140,15057,18784
Andorra,526684,5364,4125,35418,30657,2274199,571484,820128,506783,115953,617936,530155,1271280,4379284,4899415,11323938,5595705,9253757,11848192,6162072,8516441,12058059,12851607,14078494,16193098,9657995,11680839,18649613,25457668
Angola,0,0,0,2291,0,1862,134956,82953,22460,10558,198895,117424,34412,4575787,731925,115774,48344,20987,60120,25812,697041,150892,343559,227803,96820,41701,60434,131950,211703
Anguilla,7191,0,0,0,0,10240,11120,22773,44305,11701,1964,20148,0,67684,43096,12076,0,7975,3515,1368,0,4455,118071,63841,1555,60876,20878,4049,32172
Antarctica,0,0,0,0,0,1665,0,0,0,0,0,0,0,0,0,0,0,8414,0,35495,0,0,0,0,0,3574,0,0,0
Antigua and Barbuda,3997,0,0,458553,32431,133497,7803,65580,157002,143866,61549,86453,39196,77647,380683,96003,39373,157327,215968,245042,32129,12064,7972,1281113,112,0,16032,103462,0
Argentina,1194963,1429413,737249,532552,673055,1002204,1561846,414649,486380,1072730,1096714,858116,2219203,2500556,1307634,1500598,2314752,1277958,1079637,3480237,3993558,2199966,3581669,1762445,1609630,1951905,4535536,4081432,5095388
Armenia,4305,0,17305,13404,6835,437837,34765,88875,52595,32790,46247,203678,1732431,10593,37615,313906,1324311,1230441,228185,25891,28375,264333,22684,45814,269739,45607,8742,14086874,20245217
Aruba,85494,78498,6289,6266,0,1757,0,0,131878,277903,67734,448204,948928,1222540,5971138,353043,76461,35549,30008,10120,9855,24055,44199,98816,258803,10550,9843,0,70361
Australia,53337277,59163876,78391469,63747440,87903637,92979575,82217665,77477261,84427790,100009254,103769773,111310294,118024203,94847361,52547364,75183657,70793283,61731773,42183170,50263204,58152543,55503087,55930874,64139799,68530711,57471734,67678621,86814237,84668742
Austria,441114909,383820188,350963956,460620774,513006177,640454456,836290384,868187718,857075038,981598471,859243692,1150485631,1112525485,1056163739,673492436,899322690,1101982615,946602264,1013344048,874039347,789971341,822398961,909450460,870857970,773067659,688224895,781050106,897993619,961605535
Azerbaijan,0,45391,57221,12348,566240,98643,25597,25370,31606,160077,29202,260181,59074,799386,1683,17304,6829,27191,369664,83516,236602,53109,43514,127132,76539,64685,362593,222022,113286
Bahrain,211421,321666,279941,398514,130416,118261,90405,108652,76301,101032,84113,120496,245239,208594,97049,329656,230442,130193,1879765,4078890,4908121,3840381,2650203,1794025,3174816,5124141,3010902,7658084,8956956
Bangladesh,28178,0,97624,2011,99665,19124,9785,60515,70190,98484,561268,126714,141459,85124,101575,47755,278678,305998,22133,106916,87408,302091,490588,154408,244095,1010127,571014,2625867,3031583
Barbados,23621,217056,656872,557816,316846,909383,287199,24507021,9380002,119783,80234,362330,62938,70382,446978,62137,48129,75010,131197,105395,165778,71057,304354,115351,221279,181447,370941,49785,241712
Belarus,7751264,2866166,10119402,20619417,17074345,19403528,21754745,22108590,25677775,25028833,24534438,24563307,28559179,37522590,30298749,30673195,44456657,67629193,70709569,66702576,54243420,54091238,60112591,54580102,27767192,24564989,28683459,14350435,12564297
Belgium,318251614,690557949,691234403,613955687,701306478,1169282399,936278585,611470390,698616906,823601520,964432552,918296936,1167237689,1102736321,665395458,575598073,453727713,382613828,464928164,481551832,596271316,576259892,734819052,735645518,1310736037,1592020145,1930126204,2209822425,2532593255
Belize,9281,43099,106915,3983,22890,2049365,0,15456,79299,1130327,1081211,74249,416188,1053674,56765,439673,34575,28010,34425,16891,26817,9785,20316,3175,7050,0,3989,497723,15189
Benin,0,13802,17001,0,0,0,793,1645,0,33071,0,2753,0,0,0,49823,0,3013,9493,0,0,0,1152,17627,10918,563,0,155035,278995
Bermuda,255134,148848,28083,96248,1309,2271,49176,0,2270,1691,728638,497344,152392,17692,9653,134588,113961,72789,71527,17655,16528,0,12302,124496,58279,19063,13766,501751,0
Bhutan,0,57253,12996,0,11864,2390,0,12684,611810,0,12178,109416,0,298680,32010,4178,2444,6436,8252,0,1867,0,0,9768,86962,37653,0,1875,6844
